Id,Symbol,Name,DisplaySymbol,Exchange,Portfolio,Currency,Quantity,Cost Per Share,Cost Basis Method,Commission,Date,TimeOfDay,PurchaseFX,Type,Method,Method Execution Ids,Notes        
"175","AZUL4.SA","Azul Pn N2",,"SAO","Bovespa","BRL","100","11.11","0","0","2020-05-15 GMT+0200","05:00:00",,"Buy",,,
        
"176","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL",,,,,,,,,,,
"177","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL","100","6.26","0","0","2020-05-13 GMT+0200","05:00:00",,"Buy",,,
"178","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL","900","6.44","0","0","2020-05-18 GMT+0200","05:00:00",,"Buy",,,
        
"179","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL",,,,,,,,,,,
"180","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","400","13.87","0","0","2019-07-25 GMT+0200","05:00:00",,"Buy",,,
"181","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","200","16.6","0","0","2019-07-30 GMT+0200","05:00:00",,"Buy",,,
"182","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","200","17.61","0","0","2019-10-02 GMT+0200","05:00:00",,"Buy",,,
"183","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","15.57","0","0","2019-10-06 GMT+0200","05:00:00",,"Buy",,,
"184","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","15.95","0","0","2019-11-06 GMT+0100","04:00:00",,"Buy",,,
"185","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","14.25","0","0","2019-11-11 GMT+0100","04:00:00",,"Buy",,,
"186","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","13.39","0","0","2019-11-12 GMT+0100","04:00:00",,"Buy",,,
"187","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","15.3","0","0","2020-01-02 GMT+0100","04:00:00",,"Buy",,,
"188","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","17.24","0","0","2020-01-26 GMT+0100","04:00:00",,"Buy",,,
"189","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","100","15.59","0","0","2020-02-09 GMT+0100","04:00:00",,"Buy",,,
"190","BIDI4.SA","Banco Inter Pn N2",,"SAO","Bovespa","BRL","200","14.37","0","0","2020-03-04 GMT+0100","04:00:00",,"Buy",,,
